nothing
A,A,1
B,B,2
C,C,3
D,D,4
E,E,5
F,F,6
G,G,7
3C4203,海阳虚-海阳西虚收费门架,8130
3D420F,烟海威青枢纽-留格庄虚收费门架,3992
3D1B07,晏城虚-齐河南虚收费门架,5635
3D1B08,齐河南虚-池庄枢纽收费门架,3965
3D0A07,宁阳东虚-满庄虚收费门架,14150
3C6E09,平阴玫瑰虚-黄河特大桥终点收费门架,6563
3D6E0B,平阴玫瑰虚-孔村枢纽收费门架,11845
3C0B1E,夏津虚-德商青银立交收费门架,8225
3D6804,沈海蓬栖枢纽-大辛店虚收费门架,16491
3C2B02,高格庄枢纽-莱西枢纽收费门架,11895
3D1D08,长深日东枢纽-莒县虚收费门架,8550
3C0A0C,满庄虚-宁阳东虚收费门架,14150
3D750E,青岛机场-夏庄虚收费门架,4000
3C2708,莱州虚-沙河虚收费门架,17640
3C0A10,泰山枢纽-泰新福沪界收费门架,4450
3D0A0F,泰新福沪界-泰山枢纽收费门架,4450
3F7909,青兰鲁冀-魏庄虚收费门架,18881
3C091B,京台宁枣界-滕州虚收费门架,15660
3D4601,木石虚-山亭南虚收费门架,14650
3D6404,利津北虚-盐窝虚收费门架,9510
3C1F02,济宁虚-济宁北虚收费门架,11650
3C1F03,济宁北虚-东济日兰立交收费门架,5795
3D5A11,田庄枢纽-聊城南虚收费门架,3720
3C4305,乳山东虚-乳山虚收费门架,5890
3D4C0C,临枣京台枢纽-枣庄新城虚收费门架,3975
3C5203,临沂东虚-临沭北虚收费门架,10380
3C2605,蓬莱东虚-蓬莱西虚收费门架,16200
3C0703,天桥虚-槐荫枢纽收费门架,5520
3D1209,蓝村虚-王演庄枢纽收费门架,7800
3C1703,新泰南虚-博莱枢纽收费门架,13500
3E3001,鲁北-无棣虚收费门架,18290
3D2015,郓城虚-郓城南虚收费门架,19820
3C2504,崇义虚-东厅虚收费门架,3600
3C2709,沙河虚-灰埠虚收费门架,9060
3D270A,灰埠虚-沙河虚收费门架,9060
3D270C,莱州虚-莱州东虚收费门架,15530
3C6E05,桃园虚-肥城西虚收费门架,5402
3D3B0B,梁山虚-东济济广枢纽收费门架,22865
3D0D06,郭店虚-小许家枢纽收费门架,5900
3C6803,大辛店虚-沈海蓬栖枢纽收费门架,16491
3D780C,青岛高新虚-青岛西虚收费门架,9900
3D7810,河套枢纽-河套虚收费门架,970
3D1C0A,港沟枢纽-济南东虚收费门架,6150
3D3021,济阳东虚-惠民西虚收费门架,20330
3C2407,栖霞南虚-莱阳虚收费门架,8400
3C2508,福山虚-大杨家枢纽收费门架,20500
3C1A02,茌平西虚-聊城开发虚收费门架,11533
3C1A03,聊城开发虚-聊城东虚收费门架,5400
3C1A05,聊城虚-聊城西虚收费门架,4737
3C1A07,德商济馆立交-冠县东虚收费门架,19167
3C1A08,冠县东虚-冠县虚收费门架,17663
3C7A0D,定陶虚-枣菏枢纽收费门架,4420
3F4A07,高邢鲁冀-临清虚收费门架,6573
3C780D,河套-河套虚收费门架,1
3E2207,岚山虚-沈海鲁苏收费门架,4920
3C7C08,章缝虚-大田集虚收费门架,19127
3C7803,河套枢纽-营海虚收费门架,7330
